,BHK,Rent,Size,Area_Type,City,Furnishing_Status,Tenant_Preferred,Bathroom,Point_Contact,Floor_Number,Total_Floor
0,2,0.0025151480507602606,0.13642052565707133,2,4,2,1,2,2,0,2
1,2,0.005373270835715102,0.09887359198998748,2,4,1,1,1,2,1,3
2,2,0.004515834000228649,0.12390488110137672,2,4,1,1,1,2,1,3
3,2,0.0025151480507602606,0.09887359198998748,2,4,2,1,1,2,1,2
4,2,0.00180061735452155,0.10513141426783477,1,4,2,0,1,2,1,2
5,2,0.0016577112152738082,0.07384230287859823,2,4,2,1,2,2,0,1
6,2,0.0025151480507602606,0.08635794743429286,2,4,2,0,2,0,0,4
7,1,0.0010860866582828397,0.030037546933667086,2,4,2,0,1,0,1,2
8,2,0.007088144506688007,0.09887359198998748,1,4,2,0,2,0,1,2
9,2,0.0025151480507602606,0.12390488110137672,1,4,1,1,2,2,1,3
10,3,0.0068023322281925225,0.14893617021276595,1,4,1,1,2,0,1,4
11,1,0.0010860866582828397,0.04881101376720901,1,4,2,1,1,0,1,1
12,1,0.001514805076026066,0.030037546933667086,1,4,0,0,1,2,1,4
13,1,0.0012289927975305819,0.045682102628285357,1,4,2,1,1,0,1,2
14,3,0.0020864296330170345,0.11138923654568209,1,4,2,0,2,2,0,2
15,3,0.011089516405624784,0.15969962453066333,1,4,0,1,2,2,1,1
16,2,0.0013718989367783238,0.07384230287859823,2,4,1,1,1,2,1,2
17,2,0.0025151480507602606,0.09887359198998748,2,4,2,1,1,2,0,2
18,2,0.002800960329255745,0.24906132665832292,1,4,2,1,1,2,0,3
19,2,0.0013718989367783238,0.08135168961201501,2,4,2,1,1,2,1,2
20,2,0.0019149422659197437,0.08010012515644555,1,4,2,2,1,2,1,2
21,2,0.0022293357722647767,0.04881101376720901,1,4,2,0,2,2,2,3
22,1,0.0008002743797873556,0.03629536921151439,1,4,2,1,1,2,0,4
23,3,0.001514805076026066,0.19899874843554444,2,4,2,1,1,2,0,2
24,1,0.0019435234937692921,0.04881101376720901,2,4,1,0,1,0,1,2
25,2,0.0016577112152738082,0.12390488110137672,2,4,2,1,1,2,1,1
26,1,0.001171830341831485,0.04317897371714643,1,4,1,1,1,0,1,1
27,2,0.0013718989367783238,0.12390488110137672,2,4,1,1,1,2,0,3
28,2,0.0020864296330170345,0.09887359198998748,2,4,2,1,1,2,4,5
29,2,0.003229678746998971,0.10513141426783477,2,4,2,1,2,2,0,2
30,1,0.00180061735452155,0.0425531914893617,1,4,2,1,1,2,0,2
31,2,0.003944209443237681,0.11138923654568209,1,4,2,1,2,2,0,2
32,2,0.0013718989367783238,0.06758448060075092,2,4,1,1,1,2,1,1
33,2,0.0010860866582828397,0.061326658322903634,1,4,2,1,2,2,0,2
34,3,0.00594489539270607,0.13642052565707133,1,4,2,1,1,2,2,3
35,2,0.003944209443237681,0.10513141426783477,1,4,1,1,1,2,1,2
36,2,0.003229678746998971,0.09887359198998748,1,4,2,0,1,0,2,2
37,2,0.0016577112152738082,0.07759699624530662,1,4,2,0,1,2,0,3
38,2,0.005659083114210586,0.11138923654568209,1,4,1,0,2,2,1,2
39,1,0.0025151480507602606,0.03254067584480601,1,4,1,1,1,2,1,2
40,2,0.0017148736709729046,0.07759699624530662,1,4,1,1,1,2,0,1
41,3,0.003086772607751229,0.18648310387984982,1,4,0,0,2,2,0,2
42,1,0.0010860866582828397,0.07384230287859823,2,4,2,1,1,2,2,5
43,2,0.0020864296330170345,0.08635794743429286,1,4,1,1,1,2,4,14
44,1,0.0013718989367783238,0.03629536921151439,2,4,1,1,1,2,0,3
45,2,0.0025151480507602606,0.16145181476846057,2,4,1,2,2,2,0,1
46,2,0.0009717617468846462,0.04881101376720901,1,4,1,0,1,2,3,3
47,2,0.003086772607751229,0.08010012515644555,2,4,2,2,2,2,0,1
48,3,0.008231393620669943,0.24906132665832292,2,4,1,1,2,2,0,2
49,3,0.003944209443237681,0.13241551939924906,2,4,1,1,2,2,0,3
50,1,0.00180061735452155,0.017521902377972465,2,4,0,1,1,2,1,1
51,1,0.00180061735452155,0.055068836045056316,1,4,2,0,1,2,2,2
52,2,0.0010860866582828397,0.09887359198998748,1,4,2,1,1,2,0,1
53,2,0.003944209443237681,0.12390488110137672,2,4,2,1,2,2,0,2
54,2,0.002800960329255745,0.11138923654568209,2,4,1,0,1,2,5,5
55,1,0.0016577112152738082,0.07384230287859823,1,4,2,1,1,2,0,2
56,2,0.0013718989367783238,0.14893617021276595,2,4,2,1,1,2,1,1
57,2,0.0013718989367783238,0.14893617021276595,2,4,1,0,2,2,2,2
58,2,0.0016577112152738082,0.08010012515644555,2,4,1,1,2,2,0,3
59,2,0.0020864296330170345,0.08886107634543178,1,4,1,1,2,2,4,4
60,1,0.0010860866582828397,0.03629536921151439,1,4,2,0,1,2,1,3
61,3,0.008231393620669943,0.14893617021276595,1,4,2,1,3,0,0,2
62,2,0.0025151480507602606,0.08635794743429286,1,4,2,1,2,2,7,8
63,3,0.008231393620669943,0.24906132665832292,2,4,1,1,2,2,1,3
64,1,0.0006573682405396136,0.030037546933667086,2,4,1,1,1,2,0,4
65,2,0.0019435234937692921,0.13642052565707133,1,4,2,0,1,2,0,3
66,1,0.0010860866582828397,0.03629536921151439,1,4,2,1,1,2,0,2
67,2,0.00180061735452155,0.07384230287859823,2,4,1,1,1,2,0,2
68,2,0.001514805076026066,0.09887359198998748,1,4,2,1,1,2,0,2
69,1,0.00180061735452155,0.08385481852315393,2,4,2,1,1,2,1,3
70,1,0.00180061735452155,0.08385481852315393,2,4,2,1,1,2,0,2
71,2,0.004230021721733165,0.10513141426783477,1,4,1,0,1,0,1,4
72,2,0.004230021721733165,0.10513141426783477,1,4,1,0,1,0,1,2
73,2,0.001514805076026066,0.08635794743429286,2,4,2,0,1,2,0,2
74,3,0.011089516405624784,0.18648310387984982,2,4,2,1,2,2,0,2
75,2,0.003229678746998971,0.1176470588235294,2,4,1,1,2,2,1,4
76,2,0.0012289927975305819,0.061326658322903634,2,4,2,1,1,2,0,2
77,1,0.0010860866582828397,0.055068836045056316,1,4,1,1,1,2,2,4
78,2,0.001514805076026066,0.08635794743429286,2,4,2,0,1,2,0,2
79,1,0.0019435234937692921,0.061326658322903634,2,4,2,1,1,2,1,2
80,3,0.0038013033039899394,0.22403003754693365,2,4,1,1,2,2,0,2
81,1,0.002000685949468389,0.061326658322903634,1,4,1,1,1,2,1,3
82,2,0.003944209443237681,0.058823529411764705,1,4,0,1,2,2,0,3
83,6,0.005373270835715102,0.12390488110137672,2,4,1,1,2,2,1,1
84,2,0.0015719675317251627,0.09887359198998748,2,4,0,1,1,2,1,2
85,1,0.0025151480507602606,0.05319148936170213,2,4,2,1,1,2,2,3
86,2,0.0016577112152738082,0.08635794743429286,1,4,1,1,2,0,0,2
87,2,0.00594489539270607,0.09887359198998748,2,4,0,1,1,0,4,4
88,2,0.001514805076026066,0.055068836045056316,2,4,2,1,1,2,1,3
89,2,0.0020864296330170345,0.06758448060075092,1,4,1,1,1,0,2,3
90,2,0.004801646278724134,0.09887359198998748,1,4,2,0,2,0,0,4
91,2,0.003086772607751229,0.06758448060075092,1,4,1,2,2,2,0,2
92,1,0.0022293357722647767,0.07384230287859823,2,4,0,1,1,2,2,4
93,1,0.0013718989367783238,0.061326658322903634,2,4,2,1,1,2,0,1
94,2,0.005373270835715102,0.12390488110137672,2,4,0,1,2,2,1,2
95,1,0.0010860866582828397,0.03629536921151439,1,4,2,1,1,2,1,2
96,2,0.003086772607751229,0.14893617021276595,2,4,0,1,2,2,1,3
97,2,0.0025151480507602606,0.061326658322903634,1,4,1,1,1,2,3,4
98,4,0.004801646278724134,0.14893617021276595,2,4,2,2,2,2,1,2
99,2,0.003944209443237681,0.11138923654568209,1,4,1,1,2,0,1,2
100,3,0.00594489539270607,0.16145181476846057,1,4,2,1,3,0,0,2
101,4,0.009660455013147363,0.19899874843554444,1,4,2,1,3,0,1,5
102,3,0.005659083114210586,0.1802252816020025,2,4,2,2,2,2,0,1
103,2,0.0068023322281925225,0.13642052565707133,2,4,0,0,2,0,2,2
104,2,0.05110323539499256,0.1176470588235294,1,4,2,1,2,2,0,1
105,1,0.0013718989367783238,0.07384230287859823,1,4,2,1,1,2,8,5
106,2,0.0036583971647421976,0.08635794743429286,1,4,2,1,2,2,0,2
107,3,0.0019435234937692921,0.09261576971214017,2,4,2,2,1,2,0,2
108,2,0.0019435234937692921,0.12390488110137672,2,4,2,1,1,2,0,1
109,1,0.0013718989367783238,0.026282853566958697,2,4,0,1,1,2,0,2
110,1,0.0019435234937692921,0.03629536921151439,1,4,1,0,1,0,1,3
111,1,0.0013718989367783238,0.03629536921151439,1,4,2,1,1,0,0,1
112,1,0.005373270835715102,0.08635794743429286,2,4,1,1,1,2,1,2
113,3,0.003086772607751229,0.09887359198998748,2,4,2,1,2,2,0,1
114,3,0.003944209443237681,0.19899874843554444,2,4,2,1,2,2,1,3
115,2,0.0036583971647421976,0.12390488110137672,1,4,2,1,2,2,1,3
116,1,0.0010860866582828397,0.0012515644555694616,2,4,2,1,1,2,2,3
117,2,0.0016577112152738082,0.04881101376720901,1,4,2,1,1,2,0,2
118,1,0.0007716931519378071,0.023779724655819776,2,4,0,1,1,2,2,2
119,3,0.0036583971647421976,0.10387984981226532,1,4,2,0,2,2,1,4
120,1,0.0014576426203269691,0.03629536921151439,1,4,2,1,1,0,1,1
121,2,0.0033725848862467133,0.06758448060075092,1,4,0,1,2,0,1,2
122,1,0.001600548759574711,0.03629536921151439,1,4,2,1,1,0,1,2
123,2,0.0019435234937692921,0.09887359198998748,2,4,2,1,2,2,1,1
124,2,0.0025151480507602606,0.0913642052565707,1,4,2,0,1,2,0,6
125,2,0.004801646278724134,0.16145181476846057,2,4,2,1,2,2,1,1
126,2,0.0019435234937692921,0.08010012515644555,2,4,1,1,1,2,0,1
127,2,0.0019435234937692921,0.060075093867334166,2,4,1,1,1,2,1,1
128,1,0.0010003429747341944,0.030037546933667086,2,4,0,1,1,2,2,2
129,1,0.0010003429747341944,0.030037546933667086,2,4,0,1,1,2,0,1
130,1,0.0009431805190350977,0.055068836045056316,2,4,2,1,1,2,1,2
131,1,0.0013718989367783238,0.03629536921151439,1,4,1,1,1,2,0,1
132,2,0.004230021721733165,0.09261576971214017,2,4,2,1,2,2,1,3
133,1,0.0010003429747341944,0.030037546933667086,2,4,0,1,1,2,1,2
134,2,0.0036583971647421976,0.0927409261576971,1,4,2,0,1,2,3,3
135,2,0.0022293357722647767,0.11138923654568209,1,4,1,0,1,2,0,2
136,2,0.0010860866582828397,0.04881101376720901,1,4,1,1,1,2,1,3
137,2,0.004658740139476391,0.12390488110137672,1,4,1,1,2,0,0,2
138,2,0.0020864296330170345,0.12390488110137672,1,4,2,1,1,2,0,1
139,3,0.003944209443237681,0.18648310387984982,1,4,1,2,2,2,1,1
140,2,0.003229678746998971,0.09261576971214017,1,4,2,1,2,2,1,3
141,1,0.0033725848862467133,0.14893617021276595,2,4,1,1,1,2,2,4
142,2,0.0019435234937692921,0.08635794743429286,2,4,2,1,1,2,0,1
143,2,0.0019435234937692921,0.08635794743429286,1,4,0,1,1,2,4,4
144,2,0.0019435234937692921,0.12390488110137672,2,4,1,1,1,2,0,2
145,2,0.0016577112152738082,0.14893617021276595,2,4,2,1,2,2,1,3
146,2,0.0002858122784954842,0.06758448060075092,2,4,0,1,1,2,2,3
147,2,0.0019435234937692921,0.09887359198998748,1,4,2,0,1,2,0,4
148,2,0.0012289927975305819,0.03379224030037547,2,4,2,0,1,2,1,3
149,3,0.005373270835715102,0.13642052565707133,2,4,2,1,3,2,0,2
150,2,0.0016577112152738082,0.1176470588235294,2,4,2,1,1,0,0,2
151,1,0.0006573682405396136,0.030037546933667086,2,4,0,1,1,2,1,2
152,2,0.0010860866582828397,0.12390488110137672,1,4,2,0,1,2,0,2
153,3,0.005373270835715102,0.12390488110137672,1,4,1,1,2,2,0,2
154,2,0.0016577112152738082,0.08010012515644555,2,4,2,1,1,2,0,2
155,2,0.0025151480507602606,0.08635794743429286,2,4,2,1,2,2,1,2
156,2,0.0016577112152738082,0.08635794743429286,1,4,2,0,1,2,0,3
157,3,0.003086772607751229,0.12390488110137672,2,4,1,1,2,2,0,3
158,2,0.0038013033039899394,0.11138923654568209,1,4,2,0,2,2,1,4
159,1,0.0013718989367783238,0.08635794743429286,2,4,2,1,1,2,1,2
160,2,0.0023722419115125184,0.08635794743429286,2,4,2,1,2,2,1,2
161,2,0.0025151480507602606,0.055068836045056316,1,4,1,1,2,2,2,1
162,1,0.0006573682405396136,0.013767209011264079,2,4,2,1,1,2,0,3
163,2,0.0022293357722647767,0.09887359198998748,2,4,1,1,2,2,1,2
164,3,0.011089516405624784,0.15143929912390489,1,4,2,1,2,2,2,3
165,3,0.004372927860980907,0.13642052565707133,2,4,2,1,1,2,0,3
166,3,0.0019435234937692921,0.08635794743429286,1,4,2,2,2,2,0,3
167,2,0.003086772607751229,0.09887359198998748,2,4,0,1,1,2,0,3
168,2,0.001514805076026066,0.08260325406758447,2,4,2,2,1,2,2,2
169,4,0.011089516405624784,0.16145181476846057,2,4,2,1,3,2,1,2
170,1,0.0010860866582828397,0.02252816020025031,2,4,1,1,1,2,0,2
171,2,0.0022293357722647767,0.08635794743429286,2,4,1,1,1,2,0,2
172,1,0.0016577112152738082,0.028785982478097622,1,4,2,0,1,2,0,4
173,2,0.004801646278724134,0.10513141426783477,1,4,1,2,1,2,2,4
174,1,0.0022293357722647767,0.1176470588235294,2,4,2,1,2,2,1,2
175,1,0.0012289927975305819,0.055068836045056316,1,4,0,1,1,2,1,2
176,2,0.00180061735452155,0.09887359198998748,1,4,2,0,1,2,0,2
177,2,0.0008002743797873556,0.07384230287859823,1,4,2,1,1,2,1,2
178,3,0.002658054190008003,0.09887359198998748,1,4,2,0,2,2,2,2
179,3,0.003944209443237681,0.13642052565707133,1,4,2,1,2,2,0,2
180,2,0.003944209443237681,0.09887359198998748,1,4,0,1,1,2,0,2
181,1,0.013947639190579626,0.2740926157697121,2,4,0,1,3,2,2,5
182,2,0.003086772607751229,0.1176470588235294,1,4,2,0,2,2,1,1
183,2,0.002800960329255745,0.06758448060075092,1,4,2,1,1,2,2,3
184,2,0.003086772607751229,0.22403003754693365,1,4,2,0,2,2,1,1
185,2,0.0019435234937692921,0.12390488110137672,2,4,0,1,1,2,0,2
186,2,0.004801646278724134,0.07384230287859823,2,4,1,1,2,2,0,3
187,2,0.0019435234937692921,0.09261576971214017,1,4,1,1,2,2,2,4
188,2,0.0016577112152738082,0.08448060075093866,2,4,2,1,1,0,2,3
189,1,0.001514805076026066,0.00425531914893617,1,4,0,1,1,2,0,1
190,4,0.0033725848862467133,0.14893617021276595,1,4,2,1,1,2,0,2
191,2,0.0022293357722647767,0.061326658322903634,1,4,2,0,1,2,0,2
192,4,0.0025151480507602606,0.1376720901126408,1,4,2,1,2,2,2,2
193,2,0.003086772607751229,0.12390488110137672,2,4,2,1,2,2,1,3
194,2,0.0010860866582828397,0.04780976220275344,2,4,2,1,1,2,0,2
195,2,0.0013718989367783238,0.08635794743429286,2,4,2,1,1,2,1,2
196,1,0.0011432491139819366,0.09261576971214017,2,4,2,1,1,2,2,4
197,3,0.003944209443237681,0.18648310387984982,2,4,2,2,2,2,1,2
198,2,0.0022293357722647767,0.11138923654568209,2,4,2,1,2,2,0,1
199,1,0.006516519949697038,0.08760951188986231,2,4,0,0,1,0,1,1
200,1,0.0012289927975305819,0.04881101376720901,1,4,2,1,1,2,0,3
201,1,0.0025151480507602606,0.08635794743429286,1,4,2,0,1,2,1,2
202,2,0.003944209443237681,0.12390488110137672,1,4,1,1,1,2,0,2
203,1,0.0010003429747341944,0.030037546933667086,2,4,0,1,1,2,1,2
204,1,0.0010860866582828397,0.061326658322903634,1,4,1,1,1,2,0,3
205,2,0.0010860866582828397,0.055068836045056316,1,4,1,1,1,2,2,2
206,3,0.003944209443237681,0.1739674593241552,2,4,2,1,1,2,1,3
207,1,0.0010860866582828397,0.061326658322903634,1,4,1,1,1,2,1,1
208,2,0.0013718989367783238,0.08635794743429286,1,4,2,1,1,2,0,1
